RR Monitoring Started at Tue Aug  5 02:13:09 AM IST 2025
================================================
Timestamp,Domain,Run,Type,TW6,TW7,TW8,TW9,TW10,TW11,TW12,TW13,TW14,TW19,TW20,TW21,TW22_ANS_decrypt_end,TW22,TW23,TW24,RR_RTT_ms,PowerDNS_RTT_ms,ANS_RTT_ms,Status

2025-08-05 02:17:29,youtube.com,1,Global,1754340441.562063,1754340441.562289,1754340441.568914,1754340441.638557,,1754340442.206962,,,,,,,,1754340442.207002,1754340442.209692,1754340442.209697,647.73,568.41,,SUCCESS
2025-08-05 02:17:30,youtube.com,2,Global,1754340445.424656,1754340445.424823,1754340445.428836,1754340445.429086,,1754340445.429645,,,,,,,,1754340445.429679,1754340445.431810,1754340445.431815,7.25,0.57,,SUCCESS
2025-08-05 02:17:38,youtube.com,3,Global,1754340448.640987,1754340448.641168,1754340448.649589,1754340448.649852,,1754340448.650401,,,,,,,,1754340448.650436,1754340448.652653,1754340448.652658,11.75,0.56,,SUCCESS
2025-08-05 02:17:39,youtube.com,4,Global,1754340451.868793,1754340451.869074,1754340451.873283,1754340451.873519,,1754340451.874040,,,,,,,,1754340451.874073,1754340451.876121,1754340451.876127,7.42,0.53,,SUCCESS
2025-08-05 02:17:39,youtube.com,5,Global,1754340455.102228,1754340455.102461,1754340455.110876,1754340455.111148,,1754340455.111701,,,,,,,,1754340455.111732,1754340455.113733,1754340455.113738,11.59,0.56,,SUCCESS
2025-08-05 02:17:40,youtube.com,6,Global,1754340458.330559,1754340458.330836,1754340458.338213,1754340458.338486,,1754340458.339039,,,,,,,,1754340458.339071,1754340458.341081,1754340458.341086,10.61,0.56,,SUCCESS
2025-08-05 02:17:51,youtube.com,7,Global,1754340461.544360,1754340461.544710,1754340461.552692,1754340461.552941,,1754340461.553408,,,,,,,,1754340461.553429,1754340461.555333,1754340461.555336,11.05,0.47,,SUCCESS
2025-08-05 02:17:52,youtube.com,8,Global,1754340464.771247,1754340464.771629,1754340464.776460,1754340464.776705,,1754340464.777252,,,,,,,,1754340464.777289,1754340464.779863,1754340464.779870,8.71,0.56,,SUCCESS
2025-08-05 02:17:53,youtube.com,9,Global,1754340467.984046,1754340467.984358,1754340467.991603,1754340467.991868,,1754340467.992450,,,,,,,,1754340467.992489,1754340467.995516,1754340467.995527,11.59,0.60,,SUCCESS
2025-08-05 02:18:01,youtube.com,10,Global,1754340471.258401,1754340471.258658,1754340471.263115,1754340471.263331,,1754340471.263794,,,,,,,,1754340471.263827,1754340471.266550,1754340471.266567,8.25,0.47,,SUCCESS
2025-08-05 02:18:02,youtube.com,11,Global,1754340474.477774,1754340474.478031,1754340474.483037,1754340474.483301,,1754340474.483866,,,,,,,,1754340474.483906,1754340474.487306,1754340474.487311,9.63,0.58,,SUCCESS
2025-08-05 02:18:02,youtube.com,12,Global,1754340477.690397,1754340477.690677,1754340477.697616,1754340477.697860,,1754340477.698347,,,,,,,,1754340477.698361,1754340477.700155,1754340477.700158,9.83,0.48,,SUCCESS
2025-08-05 02:18:11,youtube.com,13,Global,1754340480.891656,1754340480.892015,1754340480.901195,1754340480.901485,,1754340480.902142,,,,,,,,1754340480.902195,1754340480.905125,1754340480.905131,13.58,0.68,,SUCCESS
2025-08-05 02:18:11,youtube.com,14,Global,1754340484.100668,1754340484.100945,1754340484.104869,1754340484.105086,,1754340484.105610,,,,,,,,1754340484.105646,1754340484.107579,1754340484.107583,6.99,0.53,,SUCCESS
2025-08-05 02:18:12,youtube.com,15,Global,1754340487.309167,1754340487.309392,1754340487.315364,1754340487.315618,,1754340487.316130,,,,,,,,1754340487.316164,1754340487.318163,1754340487.318169,9.09,0.52,,SUCCESS
2025-08-05 02:18:20,youtube.com,16,Global,1754340490.534268,1754340490.534651,1754340490.542042,1754340490.542290,,1754340490.542833,,,,,,,,1754340490.542882,1754340490.545807,1754340490.545822,11.63,0.56,,SUCCESS
2025-08-05 02:18:21,youtube.com,17,Global,1754340493.757289,1754340493.757578,1754340493.765534,1754340493.765777,,1754340493.766321,,,,,,,,1754340493.766411,1754340493.770713,1754340493.770722,13.54,0.56,,SUCCESS
2025-08-05 02:18:22,youtube.com,18,Global,1754340496.976949,1754340496.977215,1754340496.983829,1754340496.984068,,1754340496.984614,,,,,,,,1754340496.984646,1754340496.986656,1754340496.986661,9.79,0.56,,SUCCESS
2025-08-05 02:18:30,youtube.com,19,Global,1754340500.199792,1754340500.200147,1754340500.205817,1754340500.206080,,1754340500.206666,,,,,,,,1754340500.206703,1754340500.209198,1754340500.209204,9.49,0.60,,SUCCESS
2025-08-05 02:18:31,youtube.com,20,Global,1754340503.420831,1754340503.421039,1754340503.428311,1754340503.428559,,1754340503.429106,,,,,,,,1754340503.429142,1754340503.433393,1754340503.433402,12.66,0.56,,SUCCESS
2025-08-05 02:18:31,youtube.com,21,Global,1754340506.623807,1754340506.624079,1754340506.629032,1754340506.629257,,1754340506.629781,,,,,,,,1754340506.629812,1754340506.631767,1754340506.631771,8.04,0.53,,SUCCESS
2025-08-05 02:18:39,youtube.com,22,Global,1754340509.824243,1754340509.824762,1754340509.830818,1754340509.831092,,1754340509.831702,,,,,,,,1754340509.831743,1754340509.835206,1754340509.835220,11.06,0.62,,SUCCESS
2025-08-05 02:18:40,youtube.com,23,Global,1754340513.049349,1754340513.049561,1754340513.054315,1754340513.054539,,1754340513.055039,,,,,,,,1754340513.055081,1754340513.057132,1754340513.057138,7.87,0.51,,SUCCESS
2025-08-05 02:18:41,youtube.com,24,Global,1754340516.253974,1754340516.254239,1754340516.261547,1754340516.261782,,1754340516.262267,,,,,,,,1754340516.262300,1754340516.264280,1754340516.264284,10.40,0.50,,SUCCESS
2025-08-05 02:18:49,youtube.com,25,Global,1754340519.463328,1754340519.463737,1754340519.471723,1754340519.471948,,1754340519.472493,,,,,,,,1754340519.472535,1754340519.476751,1754340519.476758,13.51,0.56,,SUCCESS
2025-08-05 02:18:50,youtube.com,26,Global,1754340522.678947,1754340522.679244,1754340522.685820,1754340522.686049,,1754340522.686628,,,,,,,,1754340522.686664,1754340522.688853,1754340522.688859,10.00,0.59,,SUCCESS
2025-08-05 02:18:50,youtube.com,27,Global,1754340525.904148,1754340525.904690,1754340525.909285,1754340525.909549,,1754340525.910073,,,,,,,,1754340525.910106,1754340525.914300,1754340525.914307,10.26,0.53,,SUCCESS
2025-08-05 02:18:59,youtube.com,28,Global,1754340529.110267,1754340529.110635,1754340529.116708,1754340529.116971,,1754340529.117444,,,,,,,,1754340529.117481,1754340529.119974,1754340529.119980,9.80,0.48,,SUCCESS
2025-08-05 02:18:59,youtube.com,29,Global,1754340532.303358,1754340532.303687,1754340532.309661,1754340532.309880,,1754340532.310474,,,,,,,,1754340532.310514,1754340532.313199,1754340532.313212,9.95,0.61,,SUCCESS
2025-08-05 02:19:00,youtube.com,30,Global,1754340535.487942,1754340535.488242,1754340535.494817,1754340535.495046,,1754340535.495596,,,,,,,,1754340535.495628,1754340535.497736,1754340535.497741,9.88,0.56,,SUCCESS
2025-08-05 02:19:08,youtube.com,31,Global,1754340538.702607,1754340538.702909,1754340538.710360,1754340538.710643,,1754340538.711154,,,,,,,,1754340538.711191,1754340538.713692,1754340538.713698,11.17,0.52,,SUCCESS
2025-08-05 02:19:09,youtube.com,32,Global,1754340541.914840,1754340541.915136,1754340541.921657,1754340541.921899,,1754340541.922426,,,,,,,,1754340541.922458,1754340541.924431,1754340541.924438,9.69,0.54,,SUCCESS
2025-08-05 02:19:10,youtube.com,33,Global,1754340545.115943,1754340545.116236,1754340545.123259,1754340545.123484,,1754340545.124010,,,,,,,,1754340545.124040,1754340545.126019,1754340545.126024,10.17,0.54,,SUCCESS
2025-08-05 02:19:18,youtube.com,34,Global,1754340548.324610,1754340548.324916,1754340548.329581,1754340548.329832,,1754340548.330400,,,,,,,,1754340548.330436,1754340548.332694,1754340548.332699,8.16,0.58,,SUCCESS
2025-08-05 02:19:19,youtube.com,35,Global,1754340551.531671,1754340551.531925,1754340551.537659,1754340551.537870,,1754340551.538296,,,,,,,,1754340551.538308,1754340551.540073,1754340551.540078,8.48,0.42,,SUCCESS
2025-08-05 02:19:19,youtube.com,36,Global,1754340554.732967,1754340554.733231,1754340554.737577,1754340554.737791,,1754340554.738292,,,,,,,,1754340554.738322,1754340554.740294,1754340554.740299,7.43,0.51,,SUCCESS
2025-08-05 02:19:28,youtube.com,37,Global,1754340557.950243,1754340557.950615,1754340557.955438,1754340557.955687,,1754340557.956182,,,,,,,,1754340557.956217,1754340557.958688,1754340557.958700,8.55,0.50,,SUCCESS
2025-08-05 02:19:28,youtube.com,38,Global,1754340561.156121,1754340561.156335,1754340561.164828,1754340561.165072,,1754340561.165686,,,,,,,,1754340561.165735,1754340561.168740,1754340561.168760,12.74,0.63,,SUCCESS
2025-08-05 02:19:29,youtube.com,39,Global,1754340564.370551,1754340564.370816,1754340564.378665,1754340564.378967,,1754340564.379463,,,,,,,,1754340564.379498,1754340564.382067,1754340564.382072,11.61,0.50,,SUCCESS
2025-08-05 02:19:37,youtube.com,40,Global,1754340567.585909,1754340567.586290,1754340567.591254,1754340567.591484,,1754340567.592022,,,,,,,,1754340567.592052,1754340567.593980,1754340567.593985,8.14,0.55,,SUCCESS
2025-08-05 02:19:38,youtube.com,41,Global,1754340570.791108,1754340570.791385,1754340570.797937,1754340570.798167,,1754340570.798736,,,,,,,,1754340570.798768,1754340570.800767,1754340570.800774,9.75,0.58,,SUCCESS
2025-08-05 02:19:39,youtube.com,42,Global,1754340574.001250,1754340574.001435,1754340574.006758,1754340574.007053,,1754340574.007671,,,,,,,,1754340574.007702,1754340574.009714,1754340574.009718,8.55,0.62,,SUCCESS
2025-08-05 02:19:47,youtube.com,43,Global,1754340577.224751,1754340577.225106,1754340577.228913,1754340577.229126,,1754340577.229644,,,,,,,,1754340577.229674,1754340577.232342,1754340577.232347,7.68,0.53,,SUCCESS
2025-08-05 02:19:48,youtube.com,44,Global,1754340580.423082,1754340580.423396,1754340580.431737,1754340580.431979,,1754340580.432642,,,,,,,,1754340580.432693,1754340580.435587,1754340580.435600,12.62,0.68,,SUCCESS
2025-08-05 02:19:48,youtube.com,45,Global,1754340583.647696,1754340583.647955,1754340583.654726,1754340583.655013,,1754340583.655489,,,,,,,,1754340583.655511,1754340583.657725,1754340583.657729,10.11,0.48,,SUCCESS
2025-08-05 02:19:57,youtube.com,46,Global,1754340586.866908,1754340586.867270,1754340586.875062,1754340586.875285,,1754340586.875811,,,,,,,,1754340586.875840,1754340586.877714,1754340586.877717,10.88,0.53,,SUCCESS
2025-08-05 02:19:57,youtube.com,47,Global,1754340590.079561,1754340590.079824,1754340590.087305,1754340590.087570,,1754340590.088082,,,,,,,,1754340590.088112,1754340590.090061,1754340590.090068,10.59,0.52,,SUCCESS
2025-08-05 02:19:58,youtube.com,48,Global,1754340593.307510,1754340593.307793,1754340593.315376,1754340593.315619,,1754340593.316137,,,,,,,,1754340593.316186,1754340593.318984,1754340593.318995,11.59,0.54,,SUCCESS
2025-08-05 02:20:03,youtube.com,49,Global,1754340596.534317,1754340596.534640,1754340596.541103,1754340596.541334,,1754340596.541817,,,,,,,,1754340596.541849,1754340596.543925,1754340596.543929,9.68,0.49,,SUCCESS
2025-08-05 02:20:04,youtube.com,50,Global,1754340599.750353,1754340599.750698,1754340599.758707,1754340599.758957,,1754340599.759491,,,,,,,,1754340599.759524,1754340599.761669,1754340599.761676,11.40,0.54,,SUCCESS
2025-08-05 02:20:10,roydns.xyz,51,Custom,1754340602.964950,1754340602.965169,1754340602.973216,,,,1754340602.973483,1754340602.977592,1754340603.054611,1754340603.220907,1754340603.215807,1754340603.215830,1754340603.220777,1754340603.220927,1754340603.223435,1754340603.223440,258.56,,247.44,SUCCESS
