RR Monitoring Started at Mon Aug  4 11:42:48 PM IST 2025
================================================
Timestamp,Domain,Run,TW6,TW7,TW8,TW9,TW10,TW11,TW12,TW13,TW19,TW20,TW21,TW22,TW23,TW24,RR_RTT_ms,Status

2025-08-04 23:44:43,google.com,1,1754331275.691600,1754331275.691929,1754331275.697188,1754331275.752190,,1754331276.188236,,,,,,1754331276.188284,1754331276.190582,1754331276.190587,499.07,SUCCESS
2025-08-04 23:44:43,google.com,2,1754331279.402990,1754331279.403349,1754331279.412331,1754331279.412662,,1754331279.413274,,,,,,1754331279.413324,1754331279.415671,1754331279.415676,12.78,SUCCESS
2025-08-04 23:44:55,google.com,3,1754331282.614005,1754331282.614322,1754331282.618814,1754331282.619070,,1754331282.619644,,,,,,1754331282.619681,1754331282.622262,1754331282.622268,8.36,SUCCESS
2025-08-04 23:44:56,google.com,4,1754331285.811276,1754331285.811569,1754331285.819637,1754331285.819905,,1754331285.820477,,,,,,1754331285.820529,1754331285.822669,1754331285.822675,11.49,SUCCESS
2025-08-04 23:44:56,google.com,5,1754331289.037699,1754331289.037994,1754331289.044747,1754331289.044998,,1754331289.045507,,,,,,1754331289.045540,1754331289.047526,1754331289.047529,9.91,SUCCESS
2025-08-04 23:44:57,google.com,6,1754331292.263940,1754331292.264109,1754331292.270213,1754331292.270456,,1754331292.270955,,,,,,1754331292.270987,1754331292.272940,1754331292.272945,9.08,SUCCESS
2025-08-04 23:45:05,google.com,7,1754331295.484578,1754331295.484879,1754331295.491713,1754331295.491944,,1754331295.492443,,,,,,1754331295.492478,1754331295.494513,1754331295.494518,10.01,SUCCESS
2025-08-04 23:45:06,google.com,8,1754331298.697653,1754331298.697913,1754331298.703124,1754331298.703392,,1754331298.703979,,,,,,1754331298.704014,1754331298.706161,1754331298.706166,8.60,SUCCESS
2025-08-04 23:45:06,google.com,9,1754331301.908410,1754331301.908602,1754331301.917378,1754331301.917647,,1754331301.918211,,,,,,1754331301.918257,1754331301.920570,1754331301.920575,12.25,SUCCESS
2025-08-04 23:45:15,google.com,10,1754331305.137463,1754331305.137937,1754331305.146721,1754331305.146997,,1754331305.147598,,,,,,1754331305.147658,1754331305.149875,1754331305.149879,12.49,SUCCESS
2025-08-04 23:45:15,google.com,11,1754331308.351730,1754331308.352059,1754331308.356454,1754331308.356695,,1754331308.357199,,,,,,1754331308.357239,1754331308.360336,1754331308.360345,8.73,SUCCESS
2025-08-04 23:45:16,google.com,12,1754331311.562330,1754331311.562699,1754331311.570443,1754331311.570697,,1754331311.571209,,,,,,1754331311.571241,1754331311.573229,1754331311.573234,10.99,SUCCESS
2025-08-04 23:45:24,google.com,13,1754331314.785089,1754331314.785473,1754331314.789750,1754331314.789992,,1754331314.790537,,,,,,1754331314.790573,1754331314.792860,1754331314.792865,7.85,SUCCESS
2025-08-04 23:45:25,google.com,14,1754331318.004533,1754331318.004798,1754331318.010101,1754331318.010324,,1754331318.010840,,,,,,1754331318.010872,1754331318.012889,1754331318.012895,8.44,SUCCESS
2025-08-04 23:45:25,google.com,15,1754331321.217827,1754331321.218115,1754331321.222892,1754331321.223153,,1754331321.223721,,,,,,1754331321.223757,1754331321.226280,1754331321.226286,8.56,SUCCESS
2025-08-04 23:45:34,google.com,16,1754331324.426946,1754331324.427280,1754331324.434957,1754331324.435207,,1754331324.435752,,,,,,1754331324.435796,1754331324.437899,1754331324.437904,11.02,SUCCESS
2025-08-04 23:45:35,google.com,17,1754331327.643807,1754331327.644083,1754331327.651755,1754331327.651990,,1754331327.652557,,,,,,1754331327.652601,1754331327.654719,1754331327.654725,11.00,SUCCESS
2025-08-04 23:45:35,google.com,18,1754331330.858239,1754331330.858549,1754331330.866618,1754331330.866867,,1754331330.867473,,,,,,1754331330.867512,1754331330.872055,1754331330.872065,13.91,SUCCESS
2025-08-04 23:45:44,google.com,19,1754331334.081674,1754331334.082074,1754331334.090502,1754331334.090765,,1754331334.091192,,,,,,1754331334.091220,1754331334.095691,1754331334.095699,14.10,SUCCESS
2025-08-04 23:45:44,google.com,20,1754331337.305768,1754331337.305909,1754331337.313169,1754331337.313608,,1754331337.314038,,,,,,1754331337.314069,1754331337.316091,1754331337.316097,10.40,SUCCESS
2025-08-04 23:45:45,google.com,21,1754331340.524583,1754331340.524885,1754331340.532611,1754331340.532856,,1754331340.533330,,,,,,1754331340.533414,1754331340.535564,1754331340.535572,11.07,SUCCESS
2025-08-04 23:45:53,google.com,22,1754331343.738031,1754331343.738444,1754331343.746972,1754331343.747207,,1754331343.747699,,,,,,1754331343.747737,1754331343.749852,1754331343.749857,11.91,SUCCESS
2025-08-04 23:45:54,google.com,23,1754331346.948756,1754331346.949051,1754331346.953640,1754331346.953895,,1754331346.954327,,,,,,1754331346.954360,1754331346.956748,1754331346.956759,8.09,SUCCESS
2025-08-04 23:45:54,google.com,24,1754331350.168136,1754331350.168339,1754331350.172591,1754331350.172811,,1754331350.173304,,,,,,1754331350.173335,1754331350.175331,1754331350.175335,7.29,SUCCESS
2025-08-04 23:46:03,google.com,25,1754331353.380043,1754331353.380427,1754331353.388085,1754331353.388332,,1754331353.388780,,,,,,1754331353.388826,1754331353.390899,1754331353.390903,10.93,SUCCESS
2025-08-04 23:46:03,google.com,26,1754331356.597491,1754331356.597780,1754331356.603536,1754331356.603756,,1754331356.604245,,,,,,1754331356.604276,1754331356.606271,1754331356.606277,8.87,SUCCESS
2025-08-04 23:46:04,google.com,27,1754331359.818201,1754331359.818443,1754331359.823073,1754331359.823297,,1754331359.823651,,,,,,1754331359.823668,1754331359.825537,1754331359.825540,7.41,SUCCESS
