RR Monitoring Started at Tue Aug  5 12:16:55 AM IST 2025
================================================
Timestamp,Domain,Run,TW6,TW7,TW8,TW9,TW10,TW11,TW12,TW13,TW19,TW20,TW21,TW22,TW23,TW24,RR_RTT_ms,Status

2025-08-05 00:18:23,google.com,1,1754333257.432062,1754333257.432270,1754333257.439848,1754333257.505160,,1754333259.405273,,,,,,1754333259.405322,1754333259.407544,1754333259.407549,1975.57,SUCCESS
2025-08-05 00:18:24,google.com,2,1754333300.050802,1754333300.051067,1754333300.058134,1754333300.058464,,1754333300.059006,,,,,,1754333300.059046,1754333300.061493,1754333300.061498,10.79,SUCCESS
2025-08-05 00:18:33,google.com,3,1754333303.275471,1754333303.275632,1754333303.283048,1754333303.283329,,1754333303.283891,,,,,,1754333303.283928,1754333303.286648,1754333303.286654,11.27,SUCCESS
2025-08-05 00:18:33,google.com,4,1754333306.509741,1754333306.509969,1754333306.517173,1754333306.517442,,1754333306.517946,,,,,,1754333306.517985,1754333306.520305,1754333306.520313,10.68,SUCCESS
2025-08-05 00:18:34,google.com,5,1754333309.741168,1754333309.741341,1754333309.745804,1754333309.746036,,1754333309.746557,,,,,,1754333309.746588,1754333309.748613,1754333309.748617,7.52,SUCCESS
2025-08-05 00:18:34,google.com,6,1754333312.956457,1754333312.956746,1754333312.964259,1754333312.964538,,1754333312.965045,,,,,,1754333312.965081,1754333312.967589,1754333312.967594,11.23,SUCCESS
2025-08-05 00:18:46,google.com,7,1754333316.187535,1754333316.187839,1754333316.195738,1754333316.196087,,1754333316.196676,,,,,,1754333316.196707,1754333316.198712,1754333316.198716,11.26,SUCCESS
2025-08-05 00:18:46,google.com,8,1754333319.411309,1754333319.411492,1754333319.417982,1754333319.418226,,1754333319.418749,,,,,,1754333319.418776,1754333319.420705,1754333319.420711,9.48,SUCCESS
2025-08-05 00:18:47,google.com,9,1754333322.631603,1754333322.631839,1754333322.638934,1754333322.639214,,1754333322.639756,,,,,,1754333322.639788,1754333322.641768,1754333322.641772,10.25,SUCCESS
2025-08-05 00:18:56,google.com,10,1754333325.860495,1754333325.861000,1754333325.865359,1754333325.865620,,1754333325.866163,,,,,,1754333325.866198,1754333325.868463,1754333325.868468,8.05,SUCCESS
2025-08-05 00:18:56,google.com,11,1754333329.087001,1754333329.087202,1754333329.094786,1754333329.095035,,1754333329.095668,,,,,,1754333329.095721,1754333329.101254,1754333329.101261,14.36,SUCCESS
2025-08-05 00:18:57,google.com,12,1754333332.312550,1754333332.312895,1754333332.320764,1754333332.321059,,1754333332.321685,,,,,,1754333332.321721,1754333332.324243,1754333332.324248,11.79,SUCCESS
2025-08-05 00:19:05,google.com,13,1754333335.520004,1754333335.520311,1754333335.527218,1754333335.527509,,1754333335.528079,,,,,,1754333335.528116,1754333335.530613,1754333335.530619,10.71,SUCCESS
2025-08-05 00:19:06,google.com,14,1754333338.738957,1754333338.739200,1754333338.744439,1754333338.744716,,1754333338.745307,,,,,,1754333338.745344,1754333338.747888,1754333338.747898,9.03,SUCCESS
2025-08-05 00:19:06,google.com,15,1754333341.961275,1754333341.961532,1754333341.966933,1754333341.967198,,1754333341.967810,,,,,,1754333341.967845,1754333341.970096,1754333341.970100,8.91,SUCCESS
2025-08-05 00:19:15,google.com,16,1754333345.185484,1754333345.185796,1754333345.191297,1754333345.191576,,1754333345.192131,,,,,,1754333345.192168,1754333345.194661,1754333345.194666,9.26,SUCCESS
2025-08-05 00:19:15,google.com,17,1754333348.404230,1754333348.404517,1754333348.413790,1754333348.414099,,1754333348.414754,,,,,,1754333348.414793,1754333348.417570,1754333348.417578,13.45,SUCCESS
2025-08-05 00:19:16,google.com,18,1754333351.628090,1754333351.628299,1754333351.635978,1754333351.636262,,1754333351.636847,,,,,,1754333351.636881,1754333351.639323,1754333351.639328,11.34,SUCCESS
2025-08-05 00:19:24,google.com,19,1754333354.850012,1754333354.850346,1754333354.855210,1754333354.855490,,1754333354.856055,,,,,,1754333354.856091,1754333354.858634,1754333354.858639,8.71,SUCCESS
2025-08-05 00:19:25,google.com,20,1754333358.056575,1754333358.056877,1754333358.064537,1754333358.064800,,1754333358.065287,,,,,,1754333358.065316,1754333358.067265,1754333358.067271,10.77,SUCCESS
2025-08-05 00:19:25,google.com,21,1754333361.267976,1754333361.268176,1754333361.272327,1754333361.272553,,1754333361.273079,,,,,,1754333361.273115,1754333361.275192,1754333361.275198,7.30,SUCCESS
2025-08-05 00:19:34,google.com,22,1754333364.474494,1754333364.474745,1754333364.479684,1754333364.479911,,1754333364.480347,,,,,,1754333364.480362,1754333364.482490,1754333364.482494,8.08,SUCCESS
2025-08-05 00:19:35,google.com,23,1754333367.698364,1754333367.698630,1754333367.705697,1754333367.705955,,1754333367.706568,,,,,,1754333367.706599,1754333367.710677,1754333367.710686,12.42,SUCCESS
