timestamp,domain,run,query_time_ms,query_size,response_size,resolver,error
2025-09-02T07:12:57.301738,google.com,66,2.15,22,25,dnscrypt-proxy,
2025-09-02T07:12:57.317583,google.com,67,2.14,22,25,dnscrypt-proxy,
2025-09-02T07:12:57.333607,google.com,68,2.1,22,25,dnscrypt-proxy,
2025-09-02T07:12:57.349594,google.com,69,2.11,22,25,dnscrypt-proxy,
2025-09-02T07:12:57.365959,google.com,70,2.34,22,25,dnscrypt-proxy,
2025-09-02T07:12:57.382202,google.com,71,2.49,22,25,dnscrypt-proxy,
2025-09-02T07:12:57.398724,google.com,72,2.27,22,25,dnscrypt-proxy,
2025-09-02T07:12:57.416409,google.com,73,2.55,22,25,dnscrypt-proxy,
2025-09-02T07:12:57.433523,google.com,74,2.49,22,25,dnscrypt-proxy,
2025-09-02T07:12:57.449651,google.com,75,2.17,22,25,dnscrypt-proxy,
2025-09-02T07:12:57.465666,google.com,76,2.13,22,25,dnscrypt-proxy,
2025-09-02T07:12:57.482266,google.com,77,2.37,22,25,dnscrypt-proxy,
2025-09-02T07:12:57.498121,google.com,78,2.45,22,25,dnscrypt-proxy,
2025-09-02T07:12:57.513745,google.com,79,2.17,22,25,dnscrypt-proxy,
2025-09-02T07:12:57.529735,google.com,80,2.15,22,25,dnscrypt-proxy,
2025-09-02T07:12:57.545728,google.com,81,2.14,22,25,dnscrypt-proxy,
2025-09-02T07:12:57.563615,google.com,82,2.12,22,25,dnscrypt-proxy,
2025-09-02T07:12:57.580253,google.com,83,2.35,22,25,dnscrypt-proxy,
2025-09-02T07:12:57.596203,google.com,84,2.35,22,25,dnscrypt-proxy,
2025-09-02T07:12:57.611624,google.com,85,2.12,22,25,dnscrypt-proxy,
2025-09-02T07:12:57.627442,google.com,86,2.14,22,25,dnscrypt-proxy,
2025-09-02T07:12:57.642729,google.com,87,2.27,22,25,dnscrypt-proxy,
2025-09-02T07:12:57.660690,google.com,88,2.1,22,25,dnscrypt-proxy,
2025-09-02T07:12:57.676521,google.com,89,2.2,22,25,dnscrypt-proxy,
2025-09-02T07:12:57.692575,google.com,90,2.1,22,25,dnscrypt-proxy,
2025-09-02T07:12:57.708231,google.com,91,2.18,22,25,dnscrypt-proxy,
2025-09-02T07:12:57.723890,google.com,92,2.27,22,25,dnscrypt-proxy,
2025-09-02T07:12:57.739797,google.com,93,2.26,22,25,dnscrypt-proxy,
2025-09-02T07:12:57.755627,google.com,94,2.1,22,25,dnscrypt-proxy,
2025-09-02T07:12:57.771434,google.com,95,2.12,22,25,dnscrypt-proxy,
2025-09-02T07:12:57.787451,google.com,96,2.12,22,25,dnscrypt-proxy,
2025-09-02T07:12:57.803500,google.com,97,2.13,22,25,dnscrypt-proxy,
2025-09-02T07:12:57.819573,google.com,98,2.1,22,25,dnscrypt-proxy,
2025-09-02T07:12:57.835436,google.com,99,2.11,22,25,dnscrypt-proxy,
2025-09-02T07:12:57.852346,google.com,100,2.36,22,25,dnscrypt-proxy,
2025-09-02T07:12:57.977932,youtube.com,1,111.35,23,25,dnscrypt-proxy,
2025-09-02T07:12:57.997931,youtube.com,2,2.24,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.015558,youtube.com,3,2.13,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.031445,youtube.com,4,2.14,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.047655,youtube.com,5,2.14,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.063721,youtube.com,6,2.14,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.083819,youtube.com,7,2.17,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.100457,youtube.com,8,2.15,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.117392,youtube.com,9,2.37,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.133943,youtube.com,10,2.42,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.149774,youtube.com,11,2.15,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.165933,youtube.com,12,2.38,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.181592,youtube.com,13,2.25,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.197491,youtube.com,14,2.13,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.213671,youtube.com,15,2.13,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.229892,youtube.com,16,2.28,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.245732,youtube.com,17,2.12,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.261940,youtube.com,18,2.26,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.278288,youtube.com,19,2.37,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.294609,youtube.com,20,2.14,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.310274,youtube.com,21,2.1,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.327737,youtube.com,22,2.15,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.345508,youtube.com,23,2.11,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.362144,youtube.com,24,2.33,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.379320,youtube.com,25,2.34,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.395508,youtube.com,26,2.13,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.412336,youtube.com,27,2.38,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.428673,youtube.com,28,2.1,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.444869,youtube.com,29,2.26,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.460625,youtube.com,30,2.12,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.476540,youtube.com,31,2.35,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.492726,youtube.com,32,2.11,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.509148,youtube.com,33,2.41,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.525105,youtube.com,34,2.39,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.541366,youtube.com,35,2.34,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.559776,youtube.com,36,4.35,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.577732,youtube.com,37,2.18,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.595460,youtube.com,38,2.22,23,25,dnscrypt-proxy,
